user_id,movie_id,rating
878,285,5
129,26,4
559,709,3
721,276,3
427,745,4
655,792,3
881,380,4
597,109,2
416,601,3
240,851,4
346,746,3
257,101,4
395,596,2
144,795,4
330,237,4
27,425,3
724,307,3
487,289,2
690,357,5
123,430,2
524,649,4
293,8,3
655,1255,3
380,1404,2
437,100,4
195,193,1
54,505,3
555,252,5
21,559,1
496,344,4
500,328,3
59,15,5
92,1016,2
109,395,3
568,711,3
119,168,5
627,693,2
903,333,4
7,601,5
342,746,4
643,168,5
271,89,3
393,769,4
790,1063,5
125,760,4
932,434,5
405,140,3
119,323,4
378,928,2
880,93,4
64,79,4
87,728,4
481,913,3
204,1296,5
83,361,3
634,596,3
396,260,3
226,23,3
267,479,4
655,1600,3
650,232,3
690,531,5
788,76,3
328,578,2
693,300,2
601,238,2
506,746,3
464,1598,3
294,630,4
823,229,3
95,561,2
373,571,1
752,321,3
758,124,5
859,3,5
416,85,3
313,896,4
268,946,3
70,99,4
852,260,3
372,1090,5
593,815,3
296,268,4
485,806,5
42,836,3
246,208,4
886,71,4
178,723,3
123,761,3
674,372,5
345,883,3
622,395,2
357,780,5
715,158,2
378,956,3
244,744,3
897,1051,3
148,1039,2
311,232,3
13,317,5
476,159,5
450,966,4
330,197,5
833,98,3
934,265,3
193,843,3
747,848,5
932,1449,5
798,281,4
409,609,3
664,657,5
655,654,3
301,345,4
331,526,3
493,175,4
1,471,4
692,188,5
391,294,2
475,737,4
456,672,1
69,1143,5
64,831,5
62,949,4
90,613,4
748,827,4
915,302,4
140,245,3
174,343,5
405,1200,1
655,159,3
181,796,5
579,211,3
371,97,5
94,501,4
625,297,3
758,99,3
476,933,2
13,848,5
291,892,4
639,990,1
342,1166,1
10,462,3
674,1620,4
85,182,4
869,846,2
102,273,3
385,899,3
279,654,5
21,164,5
346,768,3
2,327,2
64,686,5
521,663,3
405,524,1
56,383,2
408,347,3
554,717,3
469,605,4
475,833,3
249,44,4
894,529,4
679,483,5
543,170,4
403,50,5
897,177,5
363,640,2
642,401,4
318,330,5
234,52,4
342,713,3
405,479,4
280,527,5
268,260,3
148,50,5
654,223,4
872,977,3
144,488,3
897,121,5
301,576,4
64,178,5
523,935,5
279,1030,4
18,131,4
606,531,5
235,582,3
576,221,3
637,93,3
833,637,1
94,934,4
339,346,5
284,825,3
883,745,5
321,582,3
606,1047,2
119,1052,4
59,610,4
304,857,2
537,65,3
298,569,3
343,755,3
886,959,3
886,410,4
707,875,4
378,610,5
299,143,3
265,37,4
60,510,5
665,15,4
886,750,3
344,479,4
399,140,4
184,736,3
213,846,3
249,479,5
299,717,4
637,147,1
617,89,4
56,643,5
90,880,3
181,846,3
151,479,4
495,421,1
201,479,4
374,654,3
664,186,5
758,684,4
805,432,5
778,143,1
204,110,3
741,790,3
299,503,4
535,518,5
312,1298,5
720,319,3
704,10,3
222,25,4
286,84,5
243,816,4
144,328,3
651,59,5
270,535,5
374,693,5
848,163,5
407,69,4
459,978,2
781,563,4
272,8,4
707,770,3
751,834,3
500,49,4
518,124,3
60,528,4
145,1001,4
270,800,5
276,422,5
385,176,2
429,726,2
654,383,5
506,538,3
174,16,5
324,817,2
318,667,5
1,380,4
196,243,4
919,382,5
173,70,4
387,175,5
279,732,3
125,159,5
727,157,3
622,1078,3
495,660,3
663,312,5
330,225,4
391,191,3
913,100,3
322,179,5
128,88,4
109,180,3
514,613,4
629,55,4
315,146,5
389,650,3
334,1504,3
484,896,4
131,758,3
883,430,5
138,519,5
86,492,3
524,237,3
7,887,4
546,445,2
286,176,4
661,191,4
435,658,3
627,281,3
846,289,4
291,404,4
532,699,3
456,69,4
1,664,4
537,137,4
44,644,3
13,191,3
70,64,5
690,238,5
62,742,2
301,552,3
173,603,4
128,340,4
378,77,4
195,246,3
280,1473,3
184,399,3
283,344,4
197,1228,4
416,1300,3
18,72,3
326,839,4
716,97,4
271,826,4
298,164,3
301,443,4
393,1032,3
655,1233,3
401,294,1
198,64,4
398,737,2
440,776,2
299,880,4
597,386,3
931,603,2
380,652,3
298,56,4
613,1157,2
86,326,3
520,398,5
490,1012,3
405,69,4
927,8,4
655,102,3
479,616,4
405,994,1
819,634,2
496,148,3
109,322,2
429,1301,4
655,94,4
63,250,5
259,324,5
593,238,4
568,852,4
719,50,2
429,277,4
841,718,4
721,284,4
305,331,5
871,56,2
2,237,4
193,804,4
152,71,5
92,147,2
715,274,3
882,215,5
313,423,4
305,1485,3
514,274,4
11,854,5
545,227,4
13,427,5
201,508,4
242,294,4
846,1118,5
527,357,5
269,769,5
195,671,5
1,170,5
201,772,5
87,300,3
303,93,5
7,570,3
773,357,4
230,98,5
523,638,4
220,847,4
642,1469,4
9,200,4
594,286,3
313,88,3
11,472,5
792,1054,1
276,192,5
218,287,5
293,405,1
234,293,5
318,535,4
92,576,2
907,25,5
871,872,3
145,687,2
181,326,1
533,592,4
223,977,2
288,368,3
92,449,3
